,h_geocode,w_geocode,total_jobs,origin_loc_lat,origin_loc_lon,dest_loc_lat,dest_loc_lon,pickup_time_0,pickup_time_0_secs,pickup_time_0_str,origin_geom,dest_geom,walk_time,drive_time,origin_lat,origin_lon,destination_lat,destination_lon,transit_time,transfers,trip1,trip2,trip3,trip4,trip5,trip6,route1,route2,route3,route4,route5,route6,mode,bus_capacity_upto_2hours,GEOID,median_income,margin,start_pickup_window,end_pickup_window,start_dropoff_window,end_dropoff_window
0,470650103052,470650103082,19.0,35.24126195613528,-85.10443497819189,35.234300645737086,-85.19928291210982,06:25:30,23130.0,06:25:30,POINT (-85.10443497819189 35.241261956135276),POINT (-85.19928291210982 35.234300645737086),10242.0,1725.0,35.24126195613528,-85.10443497819189,35.234300645737086,-85.19928291210982,10242.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,05:55:30,06:25:30,06:54:15,07:24:15
1,470650103052,470650103082,19.0,35.25786775001764,-85.14701299999312,35.24885310434588,-85.18110434711375,07:48:45,28125.0,07:48:45,POINT (-85.14701299999312 35.25786775001764),POINT (-85.18110434711375 35.24885310434588),4173.0,614.0,35.25786775001764,-85.14701299999312,35.24885310434588,-85.18110434711375,4173.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,07:18:45,07:48:45,07:58:59,08:28:59
2,470650103052,470650103082,19.0,35.25472790004479,-85.14157939999492,35.22321696937257,-85.2183984596523,09:35:00,34500.0,09:35:00,POINT (-85.14157939999492 35.25472790004479),POINT (-85.2183984596523 35.22321696937257),7703.0,1314.0,35.25472790004479,-85.14157939999492,35.22321696937257,-85.2183984596523,7703.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,09:05:00,09:35:00,09:56:54,10:26:54
3,470650103052,470650103082,19.0,35.25415925001732,-85.14664914999396,35.22321696937257,-85.2183984596523,07:07:30,25650.0,07:07:30,POINT (-85.14664914999396 35.25415925001732),POINT (-85.2183984596523 35.22321696937257),7682.0,1309.0,35.25415925001732,-85.14664914999396,35.22321696937257,-85.2183984596523,7682.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,06:37:30,07:07:30,07:29:19,07:59:19
4,470650103052,470650103082,19.0,35.25453422970224,-85.14626835466552,35.24885310434588,-85.18110434711375,06:26:30,23190.0,06:26:30,POINT (-85.14626835466552 35.25453422970224),POINT (-85.18110434711375 35.24885310434588),3952.0,588.0,35.25453422970224,-85.14626835466552,35.24885310434588,-85.18110434711375,3952.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,05:56:30,06:26:30,06:36:18,07:06:18
5,470650103052,470650103082,19.0,35.25006520487103,-85.13690267788415,35.234300645737086,-85.19928291210982,06:17:45,22665.0,06:17:45,POINT (-85.13690267788415 35.25006520487103),POINT (-85.19928291210982 35.234300645737086),6500.0,1123.0,35.25006520487103,-85.13690267788415,35.234300645737086,-85.19928291210982,6500.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,05:47:45,06:17:45,06:36:28,07:06:28
6,470650103052,470650103082,19.0,35.241610749967464,-85.10454750002509,35.234300645737086,-85.19928291210982,08:55:00,32100.0,08:55:00,POINT (-85.10454750002509 35.241610749967464),POINT (-85.19928291210982 35.234300645737086),10245.0,1725.0,35.241610749967464,-85.10454750002509,35.234300645737086,-85.19928291210982,10245.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,08:25:00,08:55:00,09:23:45,09:53:45
7,470650103052,470650103082,19.0,35.255830650017685,-85.13964799998949,35.22321696937257,-85.2183984596523,06:05:00,21900.0,06:05:00,POINT (-85.13964799998949 35.255830650017685),POINT (-85.2183984596523 35.22321696937257),7896.0,1376.0,35.255830650017685,-85.13964799998949,35.22321696937257,-85.2183984596523,7896.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,05:35:00,06:05:00,06:27:56,06:57:56
8,470650103052,470650103082,19.0,35.25417734021028,-85.14440167418748,35.24885310434588,-85.18110434711375,08:33:30,30810.0,08:33:30,POINT (-85.14440167418748 35.25417734021028),POINT (-85.18110434711375 35.24885310434588),3958.0,591.0,35.25417734021028,-85.14440167418748,35.24885310434588,-85.18110434711375,3958.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,08:03:30,08:33:30,08:43:21,09:13:21
9,470650103052,470650103082,19.0,35.25295711068067,-85.14406687578051,35.234300645737086,-85.19928291210982,06:30:15,23415.0,06:30:15,POINT (-85.14406687578051 35.25295711068067),POINT (-85.19928291210982 35.234300645737086),6232.0,1052.0,35.25295711068067,-85.14406687578051,35.234300645737086,-85.19928291210982,6232.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650103052,96080,18155,06:00:15,06:30:15,06:47:47,07:17:47
